batches, train_acc, time, if_test
50, 85.00%, 17451 ms, false
100, 69.61%, 551484 ms, false
150, 54.52%, 532937 ms, false
200, 46.15%, 533297 ms, false
250, 40.62%, 500656 ms, false
300, 36.64%, 206723 ms, false
350, 33.79%, 790298 ms, false
400, 31.53%, 451556 ms, false
450, 29.68%, 439059 ms, false
500, 28.13%, 493273 ms, false
550, 26.90%, 549729 ms, false
600, 25.87%, 498099 ms, false
650, 17.00%, 11222 ms, false
700, 15.08%, 471411 ms, false
750, 14.64%, 453763 ms, false
800, 14.61%, 433279 ms, false
850, 14.31%, 463871 ms, false
900, 13.98%, 446740 ms, false
950, 13.75%, 671613 ms, false
1000, 13.77%, 449566 ms, false
1050, 13.64%, 513487 ms, false
1100, 13.56%, 438429 ms, false
1150, 13.42%, 413473 ms, false
1200, 13.35%, 427320 ms, false
1250, 19.00%, 9639 ms, false
1300, 12.24%, 663901 ms, false
1350, 12.03%, 549276 ms, false
1400, 12.24%, 13942 ms, false
1450, 12.11%, 481349 ms, false
1500, 12.05%, 732482 ms, false
1550, 11.90%, 453340 ms, false
1600, 11.82%, 440027 ms, false
1650, 11.81%, 492116 ms, false
1700, 11.79%, 430812 ms, false
1750, 11.78%, 471336 ms, false
1800, 11.74%, 501727 ms, false
1850, 10.00%, 12498 ms, false
1900, 11.00%, 533688 ms, false
1950, 10.97%, 479963 ms, false
2000, 10.99%, 519681 ms, false
2050, 10.99%, 459543 ms, false
2100, 11.02%, 527578 ms, false
2150, 10.91%, 465851 ms, false
2200, 10.98%, 551913 ms, false
2250, 10.95%, 463578 ms, false
2300, 10.92%, 520550 ms, false
2350, 10.95%, 548984 ms, false
2400, 10.89%, 522832 ms, false
2450, 6.00%, 9920 ms, false
2500, 10.53%, 620617 ms, false
2550, 10.79%, 449822 ms, false
2600, 10.66%, 452284 ms, false
2650, 10.72%, 425992 ms, false
2700, 10.56%, 778325 ms, false
2750, 10.44%, 603446 ms, false
2800, 10.38%, 751649 ms, false
2850, 10.26%, 495887 ms, false
2900, 10.32%, 412386 ms, false
2950, 10.22%, 71370 ms, false
3000, 10.23%, 417949 ms, false
3050, 15.00%, 10619 ms, false
3100, 9.55%, 456001 ms, false
3150, 9.94%, 482942 ms, false
3200, 9.85%, 473354 ms, false
3250, 9.84%, 492792 ms, false
3300, 9.90%, 572183 ms, false
3350, 9.88%, 684703 ms, false
3400, 9.86%, 659046 ms, false
3450, 9.88%, 591282 ms, false
3500, 9.88%, 565404 ms, false
3550, 9.92%, 523979 ms, false
3600, 9.85%, 646479 ms, false
3650, 9.00%, 11277 ms, false
3700, 10.31%, 604229 ms, false
3750, 10.04%, 603937 ms, false
3800, 10.01%, 612664 ms, false
3850, 9.96%, 717750 ms, false
3900, 9.89%, 607501 ms, false
3950, 9.73%, 584455 ms, false
4000, 9.59%, 648424 ms, false
4050, 9.57%, 631429 ms, false
4100, 9.65%, 600993 ms, false
4150, 9.63%, 757083 ms, false
4200, 9.61%, 555217 ms, false
4250, 10.00%, 16670 ms, false
4300, 9.12%, 587353 ms, false
4350, 9.14%, 580140 ms, false
4400, 9.33%, 654755 ms, false
4450, 9.33%, 708483 ms, false
4500, 9.24%, 654696 ms, false
4550, 9.36%, 637383 ms, false
4600, 9.32%, 551509 ms, false
4650, 9.29%, 642649 ms, false
4700, 9.36%, 550164 ms, false
4750, 9.36%, 556382 ms, false
4800, 9.38%, 552421 ms, false
4850, 10.00%, 11568 ms, false
4900, 9.86%, 597637 ms, false
4950, 9.51%, 516605 ms, false
5000, 9.43%, 515270 ms, false
5050, 9.54%, 519924 ms, false
5100, 9.52%, 614406 ms, false
5150, 9.40%, 538034 ms, false
5200, 9.34%, 778918 ms, false
5250, 9.31%, 929323 ms, false
5300, 9.20%, 580152 ms, false
5350, 9.20%, 543924 ms, false
5400, 9.20%, 562636 ms, false
5450, 7.00%, 14322 ms, false
5500, 8.98%, 563497 ms, false
5550, 8.97%, 527148 ms, false
5600, 9.03%, 712445 ms, false
5650, 9.03%, 553864 ms, false
5700, 9.10%, 550391 ms, false
5750, 9.00%, 562623 ms, false
5800, 9.06%, 576437 ms, false
5850, 9.00%, 573998 ms, false
5900, 9.02%, 559307 ms, false
5950, 9.01%, 534702 ms, false
6000, 9.02%, 547210 ms, false
Test, 8.63%, 643079 ms, true
